"","word","polarity","n"
"944","관심",1,55
"945","광고글",NA,55
"946","글쓰다",NA,55
"947","나오",NA,55
"948","반도체",NA,55
"949","사퇴",-1,55
"950","새끼",NA,55
"951","소식",NA,55
"952","씨젠",NA,55
"953","아름답다",2,55
"954","야들아",NA,55
"955","열리다",NA,55
"956","외인들이",NA,55
"957","전기차",NA,55
"958","절반",-1,55
"959","접다",NA,55
"960","가보",NA,54
"961","고점대비",NA,54
"962","그래프",NA,54
"963","내수",NA,54
"964","네이년",NA,54
"965","드뎌",NA,54
"966","드립니",NA,54
"967","마넌",NA,54
"968","부자",0,54
"969","부자",1,54
"970","순간",NA,54
"971","순위",NA,54
"972","야이",NA,54
"973","엄마",NA,54
"974","월급",NA,54
"975","월욜",NA,54
"976","의심",-1,54
"977","의혹",-1,54
"978","조심해",NA,54
"979","주린인데",NA,54
"980","통하다",1,54
"981","폭락장",NA,54
"982","홀딩",NA,54
"983","개미님",NA,53
"984","개폭",NA,53
"985","거기",NA,53
"986","고수님",NA,53
"987","고평",NA,53
"988","광고충",NA,53
"989","똑같",NA,53
"990","외인기관",NA,53
"991","유앵두",NA,53
"992","조심",NA,53
"993","지난주",NA,53
"994","최저가",1,53
"995","편하다",2,53
"996","개미지옥",NA,52
"997","근처",NA,52
"998","기억",NA,52
"999","너희",NA,52
"1000","다르",NA,52
"1001","대단한",-2,52
"1002","류영준",NA,52
"1003","맞추다",NA,52
"1004","멀었",NA,52
"1005","멍청한",-2,52
"1006","부럽",NA,52
"1007","새롭다",NA,52
"1008","쓸다",NA,52
"1009","장마감",NA,52
"1010","전자",NA,52
"1011","탐욕",NA,52
"1012","평생",NA,52
"1013","플러스",NA,52
"1014","고맙",NA,51
"1015","공산당",NA,51
"1016","냉정하게",NA,51
"1017","다지다",NA,51
"1018","단계",NA,51
"1019","도망가다",NA,51
"1020","비하다",NA,51
"1021","성공",1,51
"1022","성공",2,51
"1023","손해",-2,51
"1024","아놔",NA,51
"1025","오늘종가",NA,51
"1026","이틀",NA,51
"1027","진출",1,51
"1028","짜증",-2,51
"1029","최저",-1,51
"1030","축하드립니",NA,51
"1031","패턴",NA,51
"1032","하늘",NA,51
"1033","하루종일",NA,51
"1034","넘기다",1,50
"1035","당선",NA,50
"1036","뚫리다",NA,50
"1037","마이",NA,50
"1038","몇달",NA,50
"1039","붙다",NA,50
"1040","실시간",0,50
"1041","일어나다",NA,50
"1042","개박살",NA,49
"1043","과거",NA,49
"1044","기준",NA,49
"1045","김범",NA,49
"1046","끝물",NA,49
"1047","단타들",NA,49
"1048","돈버는",NA,49
"1049","만명",NA,49
"1050","백만원",NA,49
"1051","사상",0,49
"1052","상한가",NA,49
"1053","설치",NA,49
"1054","입벌리고",NA,49
"1055","장대양봉",NA,49
"1056","총알",NA,49
"1057","하반기",0,49
"1058","가는거",NA,48
"1059","금융",NA,48
"1060","긴급속보",NA,48
"1061","네이버에서",NA,48
"1062","다팔고",NA,48
"1063","당신",NA,48
"1064","매수기회",NA,48
"1065","모이다",NA,48
"1066","미수",NA,48
"1067","빠졌",NA,48
"1068","시외가",NA,48
"1069","시초가에",NA,48
"1070","아파트",NA,48
"1071","없애다",-2,48
"1072","영두형",NA,48
"1073","오르는거",NA,48
"1074","장대음",NA,48
"1075","조국",NA,48
"1076","진지하게",NA,48
"1077","코털",NA,48
"1078","호구들",NA,48
"1079","기술",NA,47
"1080","꾸다",NA,47
"1081","되겠",NA,47
"1082","두부찌개",NA,47
"1083","매도물량",NA,47
"1084","무시",NA,47
"1085","바이오팜",NA,47
"1086","빅테크",0,47
"1087","슈팅",NA,47
"1088","오른거",NA,47
"1089","이전",NA,47
"1090","인터넷",NA,47
"1091","재개",NA,47
"1092","재산",NA,47
"1093","정책",NA,47
"1094","진정한",NA,47
"1095","처음",NA,47
"1096","희망회로",NA,47
"1097","거품주",NA,46
"1098","걱정마다",NA,46
"1099","고성장",NA,46
"1100","그랬",NA,46
"1101","그만좀",NA,46
"1102","기회줄",NA,46
"1103","대통령님",NA,46
"1104","동학개미들",NA,46
"1105","뛰다",1,46
"1106","수혜주",NA,46
"1107","암카오",NA,46
"1108","외다",NA,46
"1109","유럽",NA,46
"1110","이동",NA,46
"1111","인기",1,46
"1112","일본",NA,46
"1113","일희일비",NA,46
"1114","자금",1,46
"1115","자신",NA,46
"1116","장대",NA,46
"1117","적금",NA,46
"1118","충격",-1,46
"1119","치료제",NA,46
"1120","큰일",NA,46
"1121","통과",NA,46
"1122","플렛폼",NA,46
"1123","한국주식",NA,46
"1124","홍준표",NA,46
"1125","확대",1,46
"1126","확실한",NA,46
"1127","개미털",NA,45
"1128","고다",NA,45
"1129","기본",NA,45
"1130","끝내다",NA,45
"1131","날리다",-1,45
"1132","뉴딜",NA,45
"1133","떨어졌",NA,45
"1134","먹었",NA,45
"1135","물리",NA,45
"1136","물타",NA,45
"1137","세일",1,45
"1138","셀트",NA,45
"1139","앞자리",NA,45
"1140","옵니",NA,45
"1141","전환",NA,45
"1142","주가조작",NA,45
"1143","층입니",NA,45
"1144","간만",NA,44
"1145","관리",NA,44
"1146","그것",NA,44
"1147","꼬시",NA,44
"1148","끝나",NA,44
"1149","눈치",-1,44
"1150","다같이",NA,44
"1151","다음달",NA,44
"1152","마치다",NA,44
"1153","모두",NA,44
"1154","버스",NA,44
"1155","사주",NA,44
"1156","시원",NA,44
"1157","시작한",NA,44
"1158","아프다",-2,44
"1159","안내",NA,44
"1160","양심",NA,44
"1161","없습니",NA,44
"1162","입성했습니",NA,44
"1163","있으",NA,44
"1164","점심",NA,44
"1165","주리다",NA,44
"1166","카카오주식",NA,44
"1167","풀리다",NA,44
"1168","하겠",NA,44
"1169","계속",NA,43
