Date,Open,High,Low,Close,Adj Close,Volume
2020-09-22,72200.000000,73800.000000,70200.000000,70600.000000,70538.656250,4401590
2020-09-23,71700.000000,73400.000000,70600.000000,73100.000000,73036.484375,4651970
2020-09-24,72200.000000,72300.000000,70200.000000,70400.000000,70338.828125,3818190
2020-09-25,71200.000000,71600.000000,69300.000000,70300.000000,70238.914063,2248505
2020-09-28,71300.000000,74400.000000,70800.000000,73800.000000,73735.875000,3373525
2020-09-29,74900.000000,75000.000000,72800.000000,72900.000000,72836.656250,3060270
2020-10-05,72100.000000,74100.000000,71600.000000,74100.000000,74035.609375,2611140
2020-10-06,74700.000000,76700.000000,74000.000000,76300.000000,76233.703125,3826695
2020-10-07,75600.000000,76300.000000,75200.000000,76100.000000,76033.882813,1991425
2020-10-08,76700.000000,77400.000000,75800.000000,75800.000000,75734.140625,3123290
2020-10-12,76600.000000,76600.000000,74200.000000,74300.000000,74235.437500,2358120
2020-10-13,74800.000000,75400.000000,74300.000000,74400.000000,74335.351563,1511585
2020-10-14,74000.000000,75000.000000,73200.000000,73700.000000,73635.960938,1665040
2020-10-15,73600.000000,73700.000000,72000.000000,72400.000000,72337.093750,2112830
2020-10-16,72200.000000,72400.000000,71000.000000,71500.000000,71437.875000,2002025
2020-10-19,71600.000000,72500.000000,70400.000000,70600.000000,70538.656250,1812010
2020-10-20,69600.000000,70600.000000,68000.000000,70500.000000,70438.742188,3799865
2020-10-21,70200.000000,72200.000000,70200.000000,70700.000000,70638.562500,2581410
2020-10-22,70300.000000,70400.000000,69100.000000,69800.000000,69739.351563,1881900
2020-10-23,69700.000000,70000.000000,68000.000000,68000.000000,67940.914063,3112960
2020-10-26,67400.000000,68200.000000,65600.000000,65900.000000,65842.734375,3573610
2020-10-27,64900.000000,68700.000000,64900.000000,66800.000000,66741.953125,4063050
2020-10-28,67100.000000,69300.000000,67000.000000,69300.000000,69239.781250,3147835
2020-10-29,68400.000000,69100.000000,67700.000000,68600.000000,68540.390625,2457730
2020-10-30,68600.000000,68800.000000,66000.000000,66000.000000,65942.648438,2768740
